article	token	coef.
67068	ailleurs	0.0019230769230769232
67068	départemer	0.0057692307692307696
67068	biologie	0.0019230769230769232
67068	ici	0.0019230769230769232
67068	départ	0.0019230769230769232
67068	pointe	0.0019230769230769232
67068	humour	0.0019230769230769232
67068	amusant	0.0019230769230769232
67068	développé	0.0038461538461538464
67068	fameux	0.0019230769230769232
67068	miroir	0.0019230769230769232
67068	retournement	0.0038461538461538464
67068	temporel	0.0038461538461538464
67068	permettre	0.0057692307692307696
67068	échantillonner	0.0019230769230769232
67068	enregistrer	0.0019230769230769232
67068	champ	0.0019230769230769232
67068	incident	0.0019230769230769232
67068	pouvoir	0.009615384615384616
67068	réémettre	0.0019230769230769232
67068	chronologie	0.0019230769230769232
67068	inverser	0.0019230769230769232
67068	collaborateur	0.0019230769230769232
67068	rendu	0.0019230769230769232
67068	compte	0.0038461538461538464
67068	revivre	0.0019230769230769232
67068	vie	0.0019230769230769232
67068	passer	0.0038461538461538464
67068	focaliser	0.0019230769230769232
67068	source	0.0019230769230769232
67068	façon	0.0038461538461538464
67068	efficace	0.0019230769230769232
67068	commencèrent	0.0019230769230769232
67068	abord	0.0019230769230769232
67068	ultrason	0.0038461538461538464
67068	sismique	0.0019230769230769232
67068	micro	0.0019230769230769232
67068	limiter	0.0019230769230769232
67068	publier	0.0019230769230769232
67068	excellent	0.0019230769230769232
67068	papier	0.0019230769230769232
67068	publication	0.0019230769230769232
67068	réputée	0.0019230769230769232
67068	physical	0.0019230769230769232
67068	review	0.0019230769230769232
67068	compris	0.0019230769230769232
67068	vite	0.0019230769230769232
67068	delà	0.0038461538461538464
67068	application	0.0038461538461538464
67068	potentiel	0.0019230769230769232
67068	brûler	0.0019230769230769232
67068	tumeur	0.0019230769230769232
67068	détruire	0.0019230769230769232
67068	composer	0.0019230769230769232
67068	électronique	0.0019230769230769232
67068	derrière	0.0019230769230769232
67068	mur	0.0019230769230769232
67068	envoyer	0.0019230769230769232
67068	information	0.0019230769230769232
67068	précis	0.0019230769230769232
67068	pièce	0.0019230769230769232
67068	progressivement	0.0019230769230769232
67068	nous	0.0038461538461538464
67068	certain	0.0019230769230769232
67068	nombre	0.0019230769230769232
67068	instrument	0.0019230769230769232
67068	finir	0.0019230769230769232
67068	déboucher	0.0019230769230769232
67068	partir	0.0019230769230769232
67068	possible	0.0038461538461538464
67068	fabriquer	0.0019230769230769232
67068	imageur	0.0019230769230769232
67068	corps	0.0057692307692307696
67068	humain	0.0057692307692307696
67068	grâce	0.0019230769230769232
67068	auxquels	0.0019230769230769232
67068	obtenir	0.0019230769230769232
67068	10	0.0019230769230769232
67068	000	0.0019230769230769232
67068	second	0.0019230769230769232
67068	parcourir	0.0019230769230769232
67068	jamais	0.0019230769230769232
67068	personn	0.0019230769230769232
67068	observer	0.0019230769230769232
67068	cler	0.0038461538461538464
67068	réussite	0.0038461538461538464
67068	effet	0.0019230769230769232
67068	âge	0.0019230769230769232
67068	celui	0.0019230769230769232
67068	pratiquer	0.0019230769230769232
67068	boutade	0.0019230769230769232
67068	âgé	0.0019230769230769232
67068	65	0.0019230769230769232
67068	an	0.0019230769230769232
67068	laisser	0.0019230769230769232
67068	croire	0.0019230769230769232
67068	tant	0.0019230769230769232
67068	reste	0.0019230769230769232
67068	intact	0.0019230769230769232
67068	concrétiser	0.0019230769230769232
67068	rapprochement	0.0019230769230769232
67068	optique	0.0038461538461538464
67068	arnaud	0.0019230769230769232
67068	tourin	0.0019230769230769232
67068	rémi	0.0019230769230769232
67068	carminatti	0.0019230769230769232
67068	adjoint	0.0019230769230769232
67068	unité	0.0019230769230769232
67068	mixte	0.0019230769230769232
67068	paristech	0.0019230769230769232
67068	upmc	0.0019230769230769232
67068	diderot	0.0019230769230769232
67068	centaine	0.0019230769230769232
67068	métier	0.0019230769230769232
67068	mener	0.0019230769230769232
67068	étendre	0.0019230769230769232
67068	poussée	0.0019230769230769232
67068	imagerie	0.0019230769230769232
67068	multi	0.0019230769230769232
67068	acousto	0.0019230769230769232
67068	photo	0.0019230769230769232
67068	élastographie	0.0019230769230769232
67068	irm	0.0019230769230769232
67068	technique	0.0019230769230769232
67068	focalisation	0.0019230769230769232
67068	filtre	0.0019230769230769232
67068	inverse	0.0019230769230769232
67068	contrôle	0.0019230769230769232
67068	front	0.0019230769230769232
67068	entreprise	0.0019230769230769232
67068	mettre	0.0019230769230769232
67068	oeuvre	0.0019230769230769232
67068	technologie	0.0019230769230769232
67068	biomédical	0.0019230769230769232
67068	domotiqu	0.0019230769230769232
67068	etc	0.0019230769230769232
67068	aventure	0.0019230769230769232
67068	poursuivre	0.0019230769230769232
67068	toujours	0.0019230769230769232
67068	notre	0.0019230769230769232
67068	impérativement	0.0019230769230769232
67068	préserver	0.0019230769230769232
67068	conclure	0.0019230769230769232
67071	recherche	0.029411764705882353
67071	environnement	0.025210084033613446
67071	allenvi	0.025210084033613446
67071	publier	0.008403361344537815
67071	premier	0.008403361344537815
67071	rapport	0.008403361344537815
67071	alliance	0.012605042016806723
67071	national	0.01680672268907563
67071	créée	0.004201680672268907
67071	9	0.008403361344537815
67071	février	0.004201680672268907
67071	2010	0.004201680672268907
67071	initiative	0.004201680672268907
67071	valérie	0.004201680672268907
67071	pécresse	0.004201680672268907
67071	ministre	0.004201680672268907
67071	enseignement	0.004201680672268907
67071	supérieur	0.004201680672268907
67071	système	0.004201680672268907
67071	complexe	0.004201680672268907
67071	recouvrir	0.004201680672268907
67071	champ	0.004201680672268907
67071	étendre	0.004201680672268907
67071	agroécologie	0.008403361344537815
67071	aménagement	0.004201680672268907
67071	territoire	0.01680672268907563
67071	passer	0.004201680672268907
67071	science	0.01680672268907563
67071	mer	0.008403361344537815
67071	climat	0.012605042016806723
67071	biologie	0.008403361344537815
67071	écologie	0.004201680672268907
67071	physico	0.004201680672268907
67071	chimie	0.008403361344537815
67071	mathématique	0.004201680672268907
67071	appliqué	0.004201680672268907
67071	géographie	0.004201680672268907
67071	économique	0.004201680672268907
67071	social	0.004201680672268907
67071	tout	0.008403361344537815
67071	discipline	0.004201680672268907
67071	mobiliser	0.004201680672268907
67071	environnemental	0.012605042016806723
67071	introduction	0.008403361344537815
67071	roger	0.004201680672268907
67071	genet	0.004201680672268907
67071	président	0.012605042016806723
67071	directeur	0.004201680672268907
67071	général	0.004201680672268907
67071	cemagref	0.008403361344537815
67071	nécessité	0.004201680672268907
67071	mieux	0.004201680672268907
67071	programmer	0.004201680672268907
67071	coordonner	0.004201680672268907
